layer,neuron,score,explanation
25,192,0.598395474, words and phrases related to infectious diseases and their transmission.
25,491,0.428751676, words and phrases associated with examinations and testing.
25,408,0.551873016," words related to celebrations and gatherings, as well as food and drinks associated with them."
25,1377,0.50641069, instances involving time and moments.
25,1186,0.46098932," phrases mentioning possessive pronouns, particularly focusing on 'whose'."
25,1300,0.506826051,words and phrases related to phone calls and communication.
25,1956,0.395966189," quotations, lists and legal-related words."
25,1584,0.424109949, instances of the verb 'know' and related phrases indicating knowledge or awareness.
25,1390,0.449936446,"words related to darkness, shadows, and somewhat unusual or mysterious terminology."
25,16,0.465888653,"words and phrases related to the transfer or movement of objects, people, or information."
25,356,0.502400203, phrases indicating categories of people or target audience.
25,1811,0.480964395, words and phrases related to resting or relaxation.
25,1991,0.381790383, Spanish words or phrases.
25,447,0.419946225,"strings, word parts, and basic programming terms."
26,1608,0.433959125, proper nouns and titles.
26,311,0.384327408," dates, durations, and time-related words."
26,167,0.49862336," words and phrases related to authentication, access, and verification."
26,1679,0.45360346," words associated with events, exhibitions, and dining experiences."
26,1267,0.707434919,adjectives describing small and plastic items or materials.
26,936,0.444959432," phrases related to breaking, stopping, or ending something."
26,1200,0.505588176,phrases indicating small amounts or degrees.
26,848,0.395045775, phrases related to reasons or explanations.
26,846,0.566167582, time-related concepts and phrases.
26,816,0.38448587," geographic locations, years, and some prepositions or conjunctions."
26,574,0.426335718," words related to change and transformation, often in a turning or unfolding manner."
26,1581,0.409794798, syllables or word segments with the sound 'or'.
26,1047,0.413089483, negations or expressions of opposition.
26,1070,0.443674182, words related to energetic movement or action.
26,1029,0.434693644, words and phrases related to agreements and decisions.
26,93,0.429203086," large numerical values and their units, specifically related to money."
26,800,0.585615394, words related to alerts and notices.
26,349,0.594604769, expressions of certainty or doubt.
26,1419,0.524588641, words related to explosives or sudden impactful events.
26,750,0.360566274,verbs related to movement or progression.
27,247,0.390154832, instances of the letter 'z'.
27,586,0.351174424, words and phrases related to measurement and size.
27,473,0.352520071, words and phrases related to facing challenges or difficulties.
27,1849,0.607234823, words and phrases related to entering and participating in events or situations.
27,1554,0.575627204," phrases related to opening, closing, or allowing actions."
27,1578,0.394566724," words related to studies, research, and discoveries."
27,555,0.380665919," instances of the word ""those"" followed by a descriptive adjective or numerical value."
27,1716,0.3818114," short exclamatory expressions using the word ""oh."""
27,1093,0.444692511, affectionate physical contact or close interactions between people.
27,1298,0.351522767,names or references to a person named Victor.
27,443,0.394361476, words related to waiting or pausing.
27,1581,0.81356698,words related to involvement and participation.
27,488,0.71834127, instances of square brackets and related content.
27,1954,0.424970595, expressions related to desire or wanting something.
27,1501,0.497138217," instances of the word ""one"" and related numeric values."
27,1978,0.360693726,"words related to clothing, accessories, and physical appearance."
27,895,0.400416751, words and numbers related to gaming mechanics and rules.
27,152,0.440704539," phrases related to reversing, retracting or going back."
27,446,0.425235206, words and phrases related to carrying or holding objects.
27,1397,0.784961922, words indicating proximity or nearness.
28,1859,0.388698917, parts of names or words that are of foreign origin or contain unusual letter combinations.
28,935,0.433731655,"actions or activities involving placement, position, or distribution of objects or weight."
28,937,0.595538305,instances where something is able or capable of performing an action or task.
28,605,0.635023296, numerical values and their related time or century context.
28,1864,0.845464387," the word ""most"" and occasionally other words displaying a degree of frequency or magnitude."
28,1819,0.351580299, expressions of uncertainty and personal opinions.
28,805,0.370139324,words related to listening or sensitivity.
28,3,0.491134702," situations where people are trying to reach or contact someone, particularly for comments."
28,987,0.453435762, words related to residential buildings or titles with 'House'.
28,1657,0.393434086, modal verbs and auxiliary verbs indicating possibilities or probabilities.
28,1849,0.363623782,programming code symbols and syntax elements.
28,1780,0.443983452, words related to weather conditions.
28,35,0.528335054,verbs involving turning or changing direction/position.
28,257,0.440265703, contractions and modal verbs related to negation.
28,1631,0.641983478, parts of European words and names.
28,1711,0.418871985, phrases related to knowledge and information processing.
28,869,0.365949941,parts of URLs or web-related text.
28,457,0.430275294,keywords related to adding ingredients and flavors in food or drinks.
28,759,0.428108778, words starting with the letter 's'.
28,1592,0.538494185,verb phrases related to hitting or pressing something.
29,692,0.353179477,comparative phrases and words indicating differences in degree.
29,930,0.362464122,"political figures, events, and affiliations."
29,1776,0.446752467, words and phrases related to subscribing and receiving newsletters or email updates.
29,1642,0.634404753,phrases related to distance or being away.
29,1443,0.505710797, words related to qualifications or certifications.
29,807,0.564995813, phrases related to downward or deep movements.
29,1881,0.390759705, pronouns and their associated actions.
29,751,0.890643009," instances of the word ""only"" and the surrounding context."
29,12,0.528811999," words and phrases indicating contrast or comparison, often involving the term ""however."""
29,973,0.419355035, words and phrases related to known facts or states.
29,1008,0.543032151," words or phrases related to negation, typically with the prefix 'anti'."
29,81,0.364320266,words related to adding or omitting something.
29,1394,0.460209898," words related to music, artists, and creative industries."
29,911,0.465098409,"actions or situations involving control, restraint, or holding."
29,1863,0.491679199,food-related terms and descriptions.
29,1455,0.382994971, numerical values related to prices or quantities.
29,1572,0.463367248, expressions of desire or intention.
29,240,0.562459572,verbs and phrases related to motion and transportation.
29,1797,0.461235807,"verbs related to connecting, binding or attaching things or concepts."
29,286,0.443593932,"comparative phrases, particularly those involving ""much""."
30,765,0.546647095, words related to cause and effect or reasoning.
30,381,0.350942718,words and phrases related to situations involving both sides or multiple parties.
30,1697,0.385277352, phrases and sentences with question-like structures and interrogative words.
30,1625,0.413681787," verbs related to breaking, separating or dividing."
30,371,0.513073275," instances of negation and negative expressions, especially ""not"" and words with ""n't"" contractions."
30,59,0.37093108,"verbs and prepositions related to performing actions, with a focus on checking and carrying."
30,544,0.369641801,words related to hearings and giving evidence or testimonies.
30,1519,0.606545754, words and phrases related to giving and receiving recognition or praise.
30,1301,0.423706504," conditional phrases using ""if"" or ""would""."
30,573,0.514467299,references to work or working environments.
30,1034,0.350317349, prepositions and related phrases that indicate location and time.
30,53,0.552912939, phrases describing attempts or efforts.
30,770,0.359804539," geographical locations, including cities and countries."
30,1848,0.527535608, phrases related to experience and duration.
30,1986,0.514295496, numbers and related numerical context.
30,187,0.512180166, phrases related to broadcasting or media elements.
30,516,0.379279924," words and phrases related to possession, specifically regarding ownership or having a particular quality or characteristic."
30,1990,0.720945766,"comparisons, especially involving the word ""far"" and quantities."
30,577,0.356985748, negative contractions and their related phrases.
30,1142,0.425888214, words and phrases related to communication and messaging.
31,754,0.352915017, verbs related to receiving or sharing information.
31,409,0.359142127, actions or intentions related to planning or searching.
31,796,0.534714157,sounds and noises in a given context.
31,1063,0.42702324,specific terminology related to transportation and infrastructure.
31,1609,0.703301328,"words and phrases related to the ""top"" or highest element of something."
31,1910,0.514533621, variations of the word 'give' and related phrases.
31,93,0.435115073, modals and auxiliary verbs.
31,243,0.420057545, sentences requesting support or assistance.
31,774,0.417752364,phrases related to turning or changing something.
31,1902,0.397645592, phrases related to shipping and delivery.
31,1106,0.449420818, expressions of welcoming and inviting people.
31,686,0.500547311,"sequences related to communication, such as phone numbers and email addresses, as well as verbs related to reporting or contacting people."
31,68,0.364043378, negations and actions related to the inability or failure to perform a task.
31,1030,0.378643637," proper nouns, specifically names of people and places."
31,498,0.537096381, phrases related to monetary values and fees.
31,1929,0.525830771," expressions of emphasis or certainty, often with punctuation."
31,1492,0.395446481,conditional expressions and related context.
31,709,0.353330827, pronouns followed by verbs or adjectives.
31,592,0.380071257, phrases related to a person's true nature or identity.
31,802,0.36162756, phrases related to duration and continuity in one's life or situation.
32,304,0.562691395," expressions of desire, especially with the word 'would'."
32,1332,0.37870535,"the word ""some"" and words associated with attempting or making efforts."
32,1423,0.582848034,phrases related to evidence and its emerging or supporting nature.
32,1551,0.415878735, time-related phrases or expressions.
32,646,0.427713799," numeric values in the text, including fractions and ordinal terms."
32,1271,0.40474217, nouns or verbs related to leaving or being left.
32,1317,0.410529488, words and phrases related to stopping or ending actions.
32,1698,0.488916645," instances of the word ""an"" and single letters or digits."
32,1589,0.46407179, words and numbers related to music titles or tracks.
32,1334,0.353284412," instances of the word ""one"" and related numerical expressions."
32,1191,0.468183221, quotation marks and punctuation associated with dialogue.
32,658,0.364191001, phrases or questions that ask for an opinion or a personal thought.
32,179,0.492219071, phrases related to the passage of time.
32,1633,0.456210865," time-related expressions, including dates, times, and periods of a day."
32,170,0.426002336," phrases related to intentions, plans, and goals."
32,159,0.385518418, comparative phrases and expressions.
32,345,0.592794861,phrases related to group activities or collective experiences.
32,1801,0.383679982,words and phrases related to heat and temperature.
32,1773,0.516327004,"the word ""kept"" and surrounding context related to maintaining or preserving something."
32,1048,0.493901971, words and phrases related to decision-making and problem-solving.
33,1353,0.716173157," phrases related to life, especially in the context of a person's life at stake or life-changing situations."
33,1168,0.451780831, phrases indicating that something needs or has to be done.
33,1192,0.416504719,words and phrases related to agreements and negotiations.
33,1047,0.427969064," clauses ending with punctuations, especially in dialogues."
33,1858,0.517378967, phrases indicating an excessive or too much amount.
33,1838,0.490908535," occurrences of the word ""all"" and related surrounding phrases."
33,1323,0.512959395,"sports-related actions and words, particularly in the context of scoring and in-game occurrences."
33,935,0.439149452,comparisons and gradations.
33,0,0.352118632, phrases related to consistent or long-standing habits or characteristics.
33,1331,0.567573802, phrases indicating being part of something or inclusion.
33,1647,0.401735463, words and phrases related to discovery or finding something.
33,240,0.527498603, words and phrases related to focusing or paying attention.
33,401,0.475233554, words related to political parties and positions.
33,1241,0.609602228, expressions of desire or intention.
33,624,0.396697821,"sequential actions or movements, including turning and shifting."
33,398,0.542758653," dates, days of the week, and related numbers."
33,1082,0.418695836, words related to leaving or being in a certain state or condition.
33,643,0.610478151, words and phrases related to the concept of creation or making.
33,1020,0.355430637, words or phrases indicating contrast or transitions.
33,819,0.459796544,"actions, especially related to speaking and personal experiences."
34,909,0.45051065," instances of the word ""read"" and its variations in various contexts."
34,1489,0.402330424, phrases emphasizing key points or central ideas.
34,842,0.680708651, occurrences of the word 'going' and variations of 'to be' with 'going'.
34,116,0.439921805, words and phrases related to change and differences.
34,718,0.386395084,descriptions of spaces and layouts.
34,1614,0.565024436,"prepositions and adjectives related to amounts, levels, or degrees."
34,1317,0.400391044, phrases and words related to time and progression.
34,1574,0.438088214, casual conversation phrases and informal questions.
34,310,0.638240132, words and phrases related to motivation or incentives.
34,1607,0.590410184,"sequences of alphanumeric characters, typically found in URLs or identifiers."
34,981,0.376075703, words and phrases related to ownership and operation.
34,1319,0.45625611,instances of time and conditional phrases.
34,1473,0.474471483, age-related phrases and numbers.
34,353,0.378045138, phrases related to customer service and support.
34,801,0.387808348," possessive relationships, often indicated by the use of 's or their."
34,839,0.395043163," phrases related to legal actions, regulations, and authority."
34,720,0.445008525," instances of the word ""get"" and its variations in different sentence contexts."
34,1568,0.448075593, phrases related to challenges in filling job positions and workforce needs.
34,465,0.371290101,actions related to signing up and email interactions.
34,214,0.523141015," contrasting conjunctions, such as ""but"" and ""though""."
35,168,0.516822086, words related to the concept of 'natural' and its variations.
35,1944,0.369326904, words or phrases related to continuity or ongoing actions.
35,1736,0.360191353,medical conditions and health issues.
35,987,0.556828807,measurements and dimensions.
35,1206,0.389691935, negative expressions or limitations.
35,1099,0.391336772, words and phrases related to creating and providing products.
35,458,0.355637747, words related to weather conditions and measurements.
35,995,0.41807177," question marks and punctuation that indicate the end of sentences, focusing on questions and exclamations."
35,922,0.528251741,scientific terms and phrases related to demonstrating or showing evidence.
35,432,0.481589013,"words and phrases related to shouting, chanting, or raising a voice."
35,874,0.354602986, words and phrases related to labor unions and worker rights.
35,586,0.363481049," possessive pronouns followed by a noun, and words related to political parties or institutions."
35,1360,0.404726538,"words and phrases related to expertise, knowledge, and experience."
35,1987,0.496425876, words related to different levels of weight and intensity.
35,247,0.38011516,descriptions of handcrafted items and their measurements.
35,1450,0.401606064, instances of the word 'of' and the words that directly follow it.
35,791,0.444913892," card game related terminology, especially related to creature cards and costs."
35,288,0.502838163, sports-related numbers and scores.
35,756,0.376562974,quotations and punctuation within or surrounding dialogue.
35,665,0.403274411," short informal dialogue with pronouns like ""I"" and ""you""."
36,1952,0.42376307, numerical values and numbers-related contexts.
36,697,0.426840512," partial and whole contractions, as well as phrases related to completion or near completion."
36,1111,0.677615948,"words and phrases related to distancing, separating, or positioning oneself."
36,1094,0.365392175," names, personal pronouns, and actions related to individuals."
36,324,0.375711426, numbers followed by units or associated punctuation.
36,1993,0.422580288, food ingredients and preparation methods.
36,956,0.565854133, adverbs of time and immediacy.
36,1463,0.482323773, phrases indicating positive interactions or relationships.
36,1929,0.487047006, phrases related to a visual perspective or point of view.
36,111,0.390342194, references to North American locations and related entities.
36,740,0.442249932, words related to wishes or desires.
36,961,0.564128784, numeric values with monetary or financial contexts.
36,358,0.406158863, phrases describing dependency or reliance.
36,1301,0.380601409, words indicating necessity or requirements.
36,626,0.415090872, dates and years.
36,398,0.559109986, verbs related to making choices or decisions.
36,527,0.510184146,"possessive references, particularly with the word ""your""."
36,652,0.53047011,phrases related to things being composed or made up of other things.
36,1145,0.372599841," expressions of praise, acknowledgment, and appreciation."
36,154,0.362060146," sports-related terms, especially related to rankings and positions."
37,1905,0.418121223,words and phrases related to physical human body parts or conditions.
37,1618,0.364913207, verbs related to acquiring or obtaining something.
37,704,0.463588741," numbers and numerals, especially in financial or measurement contexts."
37,444,0.374496891, instances of payment and related values.
37,477,0.420828383, numerical percentages and related values.
37,1453,0.368183834, historical names and Russian-related terms.
37,1878,0.377305829,abbreviations and acronyms.
37,149,0.552497939,comparative phrases using the word 'like' or 'same'.
37,1840,0.350182466,"descriptions of shapes, sizes, or fitting of objects or clothing."
37,100,0.413771206,"verbs related to helping, supporting, or providing assistance."
37,544,0.445923276, numbers or percentages.
37,849,0.580892945, numbers and related quantitative expressions.
37,1293,0.505117411,"sequences of numbers, often related to dates, scores, or technical information."
37,1527,0.411338113," phrases related to legal charges, enforcement, and crime-related situations."
37,1090,0.378989872," words and phrases related to actions that involve increasing, decreasing, or modifying something."
37,115,0.387123439, words and phrases related to personalization and customization.
37,535,0.36974846, descriptions of colors and design elements in various items or clothing.
37,826,0.662500636,words indicating a close examination or focus.
37,475,0.399219786, words related to the concept of checking or verifying something.
37,455,0.404992257, punctuation marks like commas and periods used in sentences.
38,1392,0.651868398,"punctuation marks, especially commas and quotation marks."
38,1950,0.593962248,descriptions of clothing and appearance.
38,1315,0.411324738, pronouns and their related actions or relationships.
38,1557,0.435031894," phrases indicating possession, specifically with the word 'has'."
38,812,0.633024887," mentions of third person pronouns (he, she)."
38,763,0.477798205, last names and abbreviations of names.
38,922,0.410222138,numbers and related terms.
38,1154,0.428496215, words and phrases related to significant life events.
38,842,0.37081793, words and phrases related to reporting and explaining a situation or event.
38,438,0.369800742, words and phrases related to performing arts and creative fields.
38,315,0.449290987, specific measurements or numerical values.
38,155,0.501455553, numbers and related numerical values.
38,1127,0.390807103," specific names of businesses, establishments, or products."
38,258,0.442633538,the verb 'got' and related actions in various contexts.
38,1674,0.42808472,words related to protection and assistance.
38,928,0.474697744," instances of ""it"" and its variations, and some simple punctuation marks, such as question marks and commas."
38,889,0.370426802," words and phrases related to cameras, photography, and image capturing."
38,737,0.44692521, words and phrases related to various types of cards and access systems.
38,306,0.553655636,names and titles related to universities and institutions.
38,976,0.468103039, technical and specialized terms or phrases.
39,764,0.574234724, possessive phrases related to comparisons or classifications.
39,1947,0.463699146,"verbs indicating refusal, denial, or rejection."
39,524,0.59103199," instances of the word ""to"" and related phrases indicating a degree or a change in state."
39,773,0.377094819, words and phrases related to transactions and processes.
39,109,0.477415602," single letters or numbers, often in parenthesized contexts."
39,699,0.404434168, phrases and words related to construction and building structures.
39,768,0.353937068,"dates, times, and numbers in event schedules."
39,1498,0.615682879, numerical values related to performance statistics.
39,357,0.471356334, phrases and words related to feelings and emotions.
39,882,0.425803166,phrases related to examining or looking at something.
39,932,0.506774592, words and phrases related to temperature.
39,1510,0.351899798, numerical values and their related units.
39,651,0.444075522, words related to technology and online interactions.
39,356,0.396467967, action-related verbs and their associated body parts.
39,12,0.458778205, phrases related to hard work and dedication.
39,1651,0.493844259," pronouns and contractions related to pronouns, such as ""it"", ""me"", ""they"", and ""'s""."
39,1244,0.375196886, numbers and units associated with them.
39,827,0.352226856, words and numbers related to counting or measuring.
39,1243,0.355914331," references to dates, times, and sports teams or events."
39,159,0.421809721,words and phrases related to medical settings and situations.
40,650,0.367661359, phrases related to a situation or news occurring or unfolding.
40,700,0.355025488, phrases related to conserving or saving resources.
40,1403,0.439452995," relationships, comparisons, and connections between words and ideas."
40,1971,0.381384618, durations and frequencies related to events.
40,1412,0.520554773,concepts and vocabulary related to incarceration and serving time.
40,1776,0.401947577," numerical sequences, especially within web addresses and data strings."
40,1915,0.366783307," instances of short pronouns, punctuation, and common connecting words."
40,892,0.518038857,"sensory descriptions, particularly related to smells and sounds."
40,778,0.410790295, numeric values and related words.
40,1640,0.459700929, numbers and numerical values within a text.
40,1526,0.366041577, numbers and technical specifications.
40,503,0.382408672, specific numeric values and related terms.
40,1849,0.62663314,"the pronoun ""I"" followed by expressions of personal experiences or opinions."
40,1923,0.406451227," verb phrases expressing certainty, agreement or questioning."
40,509,0.350382623, quotations or dialogue within a text.
40,441,0.455395603,descriptions related to physical appearance and characteristics.
40,1158,0.367531871, words related to weather and atmospheric conditions.
40,1159,0.445960815, instances of punctuation and surrounding sentence structure.
40,32,0.351255878,words and phrases related to banking and financial institutions.
40,1133,0.375392593,medical conditions and related terms.
41,1488,0.381622514,abbreviations and acronyms.
41,1685,0.459079136,numbers related to distances and speeds in athletic and speed competitions.
41,1739,0.508327736, instances of numbers and measurements.
41,1015,0.512375933, words and phrases related to motion or movement.
41,1656,0.421468841, words related to usage or application in various contexts.
41,1782,0.434820712," height, weight, and size measurements in sentences."
41,9,0.413955813, numbers and measurements related to data and transportation systems.
41,1371,0.442632926," numbers, especially related to ages and years."
41,956,0.487978682, words related to accidents and disasters.
41,590,0.588800713," modal verbs expressing possibility, ability, or likelihood."
41,1881,0.375915725,"musical terms related to chords, instruments, and notation."
41,1743,0.495457075," numbers and their related contexts, including durations, dates, and measurements."
41,152,0.439655168," instances of the pronoun ""it"" and related contractions."
41,943,0.370698656, words and phrases related to data usage and telecommunications plans.
41,1475,0.366965196," numbers and related sequences, including dates and time."
41,854,0.368550874, names and titles of characters in a fantasy setting.
41,990,0.351971471, numbers and related units or prepositions.
41,1720,0.422445301," numbers, measurements, and quantities."
41,60,0.408719198, technical and scientific terms related to genetics and biology.
41,528,0.375522849, words and phrases related to activities and events.
42,1764,0.420568408, possessive phrases and related time and location information.
42,1705,0.42119242," occurrences of the word ""one"" and its surrounding context."
42,625,0.455286536,terms related to law enforcement and crime.
42,1239,0.362043368," words related to cells, genetics, and biological processes."
42,481,0.362642466," words related to positions, occupations, and job titles."
42,1620,0.510076884,"words and phrases related to agreement, disagreement, or affirmations."
42,1471,0.373820095, numbers and statistics in the text.
42,676,0.537832074, abbreviations and initials.
42,838,0.367797488," words and phrases related to technology, specifically space-related terms."
42,855,0.362171863, phrases related to high quality and resolution.
42,1886,0.605023882," instances of voting, decision-making, and approvals."
42,1086,0.368720428, phrases and words related to upcoming events or releases.
42,995,0.463717657,words and phrases related to numbers and quantities.
42,224,0.405132217, sequences of increasing numbers.
42,111,0.390864097," words related to buildings, structures, and their features."
42,1694,0.35548301,keywords related to keyboards and key functions.
42,725,0.422120678, scientific and technical terms related to the human body and its processes.
42,1138,0.486273345, end-of-sentence punctuation marks and words closely related to them.
42,331,0.407167777,verbs indicating motion or progress.
42,1332,0.386490031,actions related to personal choices and participation in programs.
43,916,0.371617969, official statements and mentions of authorities in various contexts.
43,1911,0.377652313, numerical values and units of measurement.
43,1593,0.452557503, words and phrases related to connections and linking.
43,1266,0.39540499,words related to technical concepts and programming.
43,2,0.651463511, words related to the completion or ending of an action or event.
43,1210,0.395666853,"words related to makeup, cosmetics, and beauty products."
43,1922,0.467238202, sequences of numbers and alphanumeric characters.
43,1420,0.434042687, words and phrases related to information disclosure and security.
43,1978,0.412782727, words and phrases related to extreme beliefs or ideologies.
43,1835,0.476939416, technical terms and units of measurement.
43,1329,0.521218866, words and phrases related to story elements and descriptions.
43,1491,0.350600894," verbs that denote specific actions, movements, or occurrences."
43,640,0.469120606, phrases related to workplace benefits and employee welfare.
43,240,0.387637244, location names and related terms.
43,1524,0.412788304, strings of numbers and their related contexts.
43,1098,0.379421307,"names of people or titles, especially related to arts and entertainment."
43,1507,0.520017557, ages and age-related phrases.
43,191,0.784226998, articles 'an' and some associated compound words.
43,812,0.414738111," actions or processes being carried out, often represented by verbs followed by a relevant object."
43,1082,0.40021856," words and phrases related to television series, their titles, and genres."
44,570,0.509299706,punctuation marks and quotation marks in the context of sentences.
44,754,0.355924587, outdoor locations and landmarks.
44,659,0.397899642, words and phrases related to numerical or measurable quantities.
44,509,0.359251441, words and phrases related to measurements and distances.
44,806,0.528386995, abbreviations and acronyms.
44,441,0.389824747, auxiliary verbs and contractions.
44,1628,0.399991387,words indicating personal pronouns and contractions.
44,31,0.597059634, pronoun-verb contractions and related pronouns.
44,645,0.391476973, expressions of appreciation and positive sentiments.
44,237,0.391855167, words and phrases indicating a cause-and-effect relationship or highlighting a notable point.
44,829,0.392750655, descriptions of objects and their physical characteristics.
44,1124,0.437767324,"titles and positions related to government, institutions, and organizations."
44,1961,0.353216389," activities, events or experiences related to entertainment."
44,1261,0.359172579, numbers or numerical values.
44,1087,0.381218099," compound words, primarily those with one or multiple hyphens."
44,847,0.445629571, food-related words and phrases.
44,218,0.409282422, numbers or numeric measurements.
44,836,0.391886905, numerical values and related terms or symbols.
44,61,0.451762047, numbers and related symbols in sequences.
44,1013,0.558848582," pronouns, especially 'he'."
45,77,0.391295707, phrases related to investment and finance.
45,1124,0.368869597, dates and times.
45,786,0.385949183,words and phrases related to animals and their interaction with humans.
45,6,0.366524753, phrases related to governmental and organizational support or involvement.
45,1039,0.383332459, names of places or organizations.
45,1043,0.626871044,comparative terms indicating quantity or magnitude.
45,1539,0.408373418,"uppercase sequences of letters, typically within acronyms or emphasized text."
45,453,0.365005836, prepositions and numeric values related to a sequence of actions or aspects.
45,205,0.370191997,"punctuation, especially commas and periods."
45,941,0.371902422, words related to numbers and counting.
45,1710,0.446084513," numbers, especially connected to dates and amounts."
45,73,0.390460401, words and phrases related to numbers or numerical values.
45,535,0.393160872, numbers and technical specifications.
45,811,0.491666951," instances of the word ""the"" and closely following words or phrases."
45,1206,0.360336094, instances of the word 'you'.
45,497,0.416777656, occurrences of the letter 'a' and words using the letter 'a'.
45,1869,0.395120474," numerical values, often associated with measurements or pricing information."
45,1749,0.410401672, words and numbers related to loading and delays.
45,406,0.394433136, prepositions related to locations and placement.
45,88,0.37980419, nouns or concepts related to human activities or interactions.
46,1507,0.405583161, HTML elements and attributes.
46,787,0.376459271, numbers and dates.
46,835,0.395713502," acronyms, technical and financial terms."
46,304,0.387100354, numbers or numerical values within the text.
46,296,0.411006079, acronym-like combinations of capital letters or words with strong emphasis.
46,632,0.387123329, words and phrases related to signing up and subscribing to services or content.
46,828,0.540159928," instances of the word ""has"" and words related to having or possessing."
46,1623,0.352902015, card game terms and mechanics.
46,1480,0.355858099,"keyboard keys, control commands, and elements related to gaming features."
46,1350,0.400490717,"abbreviations, short codes, and technical terms."
46,432,0.438067763, personal pronouns and their connected verbs.
46,1015,0.632201912, words and phrases indicating a contrast or transition in a statement.
46,1857,0.462659499, numerical values and related technical details.
46,248,0.417426398, terms and descriptions related to game mechanics or rules.
46,1504,0.395355397, common pronouns and auxiliary verbs.
46,966,0.421622524,dates and months in various formats.
46,1362,0.460042829, words and phrases related to viewing and watching activities.
46,964,0.386540477," words or phrases related to negation or that contain the prefix ""non-""."
46,438,0.574630854," ""an"" followed by a word or phrase, as well as detecting prepositions related to location or presence."
46,1274,0.412738293, HTML and web-related terms.
47,342,0.418222741," names, particularly first names, of people."
47,1979,0.370911507,alphanumeric characters and symbols in technical sequences or text elements.
47,324,0.47027301, numbers and elements connected to quantities.
47,1976,0.382108439,names of people or titles.
47,840,0.394844548,"proper names, specifically first names."
47,1289,0.813535735,"instances of the word ""very"" and its degree of emphasis."
47,656,0.478236409, parts of website code or text related to embedding and formatting.
47,570,0.358710352, names of people or specific roles.
47,620,0.516579565, non-English characters and special symbols.
47,1929,0.630369579,Japanese characters and symbols.
47,1598,0.565510234, negations with verbs ending in 'n'.
47,27,0.435901784,"instances of the verb ""to be"" and its various forms."
47,1070,0.421889784, transportation-related terms and acronyms.
47,1611,0.395714349, technical terms and abbreviations.
47,69,0.356699119, sentences or phrases that end with a period or punctuation.
47,1938,0.495848014, references to CEOs and high-ranking executives.
47,150,0.354140627, capital letter 'B' and related single capital letters within words.
47,298,0.380276951, words related to parts of machines or vehicles.
47,1883,0.367676895, names of people and characters.
47,1361,0.396891692," adjectives and descriptive words, often with a focus on physical or quantitative characteristics."
